127.0.0.1 - - [05/Jun/2020:16:34:06 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:34:09 +0530] "GET /Dominos-App-Design/ HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:34:20 +0530] "POST /Dominos-App-Design/orderpage.html HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:35:01 +0530] "POST /Dominos-App-Design/domonosdataentry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:35:02 +0530] "GET /Dominos-App-Design/address.jsp HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:35:24 +0530] "POST /Dominos-App-Design/address HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:38:07 +0530] "GET /Dominos-App-Design/ HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:38:10 +0530] "POST /Dominos-App-Design/orderpage.html HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:39:34 +0530] "POST /Dominos-App-Design/domonosdataentry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:39:34 +0530] "GET /Dominos-App-Design/address.jsp HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:39:58 +0530] "POST /Dominos-App-Design/address HTTP/1.1" 200 2562
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:42:19 +0530] "GET /Dominos-App-Design/ HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:42:24 +0530] "POST /Dominos-App-Design/orderpage.html HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:44:16 +0530] "POST /Dominos-App-Design/domonosdataentry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:44:16 +0530] "GET /Dominos-App-Design/address.jsp HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [05/Jun/2020:16:44:36 +0530] "POST /Dominos-App-Design/address HTTP/1.1" 200 5403
0:0:0:0:0:0:0:1 - - [05/Jun/2020:17:33:49 +0530] "GET /Dominos-App-Design/ HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Jun/2020:17:33:56 +0530] "POST /Dominos-App-Design/orderpage.html HTTP/1.1" 200 13882
0:0:0:0:0:0:0:1 - - [05/Jun/2020:17:36:08 +0530] "POST /Dominos-App-Design/domonosdataentry HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2020:17:36:09 +0530] "GET /Dominos-App-Design/address.jsp HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [05/Jun/2020:17:36:33 +0530] "POST /Dominos-App-Design/address HTTP/1.1" 200 4691
